0.98436,,,,,
0.29323,,,,,0.5553
0.14305,,,,,0.06483
,0.5553,,,,0.18179
0.2947,,,,,0.21364
0.24645,,,,,0.07228
0.26534,,,,,0.13449
0.0827,,,,,0.06658
,0.06483,,,,0.17896
0.12321,,,,,0.28994
0.04741,,,,,0.55752
0.21749,,,,,0.27679
0.07541,,,,,0.22073
0.09243,,,,,0.05365
,0.18179,,,,0.14281
0.16075,,,,,0.14852
0.12277,,,,,0.21007
,0.21364,,,,0.10546
0.4226,,,,,0.04611
,0.07228,,,,0.06004
,0.13449,,,,0.13388
,0.06658,,,,0.04599
0.0662,,,,,0.14992
,0.17896,,,,0.14414
,0.28994,,,,0.24049
,0.55752,,,,0.08017
,0.27679,,,,0.13378
,0.22073,,,,0.03337
,0.05365,,,,0.03619
,,6.69176,,,0.38458
,,10.4127,,,0.0474
0.21338,,,,,0.07872
,0.14281,,,,0.03941
0.38848,,,,,0.1605
,,6.43848,,,0.04055
,0.14852,,,,0.10081
,,0.94172,,,0.20148
0.304,,,,,0.2235
0.16428,,,,,0.03793
0.36044,,,,,0.12997
,0.21007,,,,0.24528
,0.10546,,,,0.5339
,0.04611,,,,0.15658
,0.06004,,,,0.04053
,,0.06985,,,0.15471
0.12074,,,,,0.05793
,,0.1359,,,0.0802
0.17287,,,,,0.08024
0.13541,,,,,0.08686
,0.13388,,,,0.12452
0.07723,,,,,0.15903
0.17472,,,,,0.09397
0.13499,,,,,0.04172
,,0.11289,,,0.10442
0.2317,,,,,0.06777
,0.04599,,,,0.08585
0.13084,,,,,0.03451
,,0.1729,,,0.04952
,,0.10517,,,0.09664
,0.14992,,,,0.04094
0.13745,,,,,0.08295
,,0.13134,,,0.05103
0.22266,,,,,0.09141
0.29286,,,,,0.05
,,0.20743,,,0.1478
0.14033,,,,,0.05741
0.3639,,,,,0.09995
,0.14414,,,,0.08924
0.44289,,,,,0.08827
,,0.0578,,,0.10119
,0.24049,,,,0.05847
,0.08017,,,,0.0893
,,0.14011,,,0.18154
,0.13378,,,,0.10778
,0.03337,,,,0.03741
0.05936,,,,,0.25808
,,0.13165,,,0.22983
,0.03619,,,,0.03542
0.10105,,,,,0.14082
0.06891,,,,,0.22797
0.09532,,,,,0.37466
,0.38458,,,,0.18823
0.67947,,,,,0.09965
0.97691,,,,,0.05915
0.24476,,,,,0.78408
0.20957,,,,,0.04268
,,0.09387,,,0.04199
,,0.08501,,,0.10031
0.08735,,,,,0.06067
,0.0474,,,,0.09898
0.0458,,,,,0.03791
,0.07872,,,,0.08256
0.10763,,,,,0.16167
0.0967,,,,,0.09673
0.05117,,,,,0.11176
,0.03941,,,,0.06794
0.15383,,,,,0.09639
,0.1605,,,,0.04258
,0.04055,,,,0.2502
0.08365,,,,,0.06532
,0.10081,,,,0.09356
,,0.50949,,,0.0395
0.37503,,,,,0.06423
,0.20148,,,,0.10627
0.14806,,,,,0.05499
0.14196,,,,,0.15185
0.0812,,,,,0.13089
,0.2235,,,,0.0995
,0.03793,,,,0.0465
0.26606,,,,,0.09877
0.60587,,,,,0.06665
,,0.21144,,,0.13053
,0.12997,,,,0.10494
,0.24528,,,,0.04591
,0.5339,,,,0.28518
,0.15658,,,,0.0803
,,0.0539,,,0.09279
,0.04053,,,,0.05163
,,0.10052,,,0.18399
,0.15471,,,,0.06592
,,0.06708,,,0.11263
,,0.10295,,,0.05578
,,0.04944,,,0.04546
,0.05793,,,,0.11582
,0.0802,,,,0.0707
0.06653,,,,,0.25188
0.0851,,,,,0.07649
,0.08024,,,,0.11332
,0.08686,,,,0.21876
,0.12452,,,,0.09492
,0.15903,,,,0.04093
0.04954,,,,,0.03644
0.09641,,,,,0.08876
0.18004,,,,,0.04366
,0.09397,,,,0.08455
,0.04172,,,,0.04643
0.11958,,,,,0.08378
,,0.09917,,,0.07906
,,0.08425,,,0.27429
,0.10442,,,,0.59735
0.04661,,,,,0.09666
0.12391,,,,,0.27207
0.04458,,,,,0.04303
0.03886,,,,,0.11312
,,0.13232,,,0.35167
0.13359,,,,,0.05266
0.20555,,,,,0.15682
