0.07355 0.17815 0.21599
0.00374 0.19247 0.092
0.04041 0.13002 0.01942
0.1642 0.01669 0.00756
0.01 0.01397 0.01518
0.01523 0.19163 0.00463
0.00391 0.19993 0.04972
0.00266 0.01099 0.00641
0.0111 0.20527 0.00353
0.00241 0.04816 0.00394
0.00266 0.14733 0.00394
0.00742 0.01987 0.00946
0.01125 0.00782 0.01109
0.01087 0.13947 0.00229
0.00257 0.02275 0.00355
0.28973 0.29551 0.13775
0.00918 0.01962 0.00957
0.00261 0.00259 0.0047
0.14079 0.02959 0.0023
0.01136 0.20963 0.00919
0.09341 0.14695 0.03192
0.25473 0.01131 0.00656
0.00719 0.02102 0.00976
0.00266 0.1704 0.00675
0.00683 0.01127 0.00629
0.00328 0.02653 0.00585
0.35128 0.06957 0.01024
0.0024 0.0146 0.00955
0.01119 0.00914 0.00948
0.00719 0.05973 0.0092
0.06376 0.13966 0.00934
0.01071 0.20436 0.33526
0.00247 0.01356 0.00292
0.00266 0.00227 0.00356
0.0077 0.01946 0.00257
0.1107 0.02978 0.00917
0.01127 0.1894 0.00941
0.02125 0.08444 0.00438
0.33619 0.08324 0.00533
0.01178 0.00883 0.00272
0.00213 0.14701 0.00446
0.04206 0.00856 0.00865
0.00886 0.19813 0.01563
0.01061 0.03959 0.0097
0.01401 0.1557 0.00945
0.00238 0.18599 0.00228
0.05879 0.01149 0.01018
0.00197 0.01503 0.00732
0.01642 0.00332 0.00996
0.01018 0.14342 0.00577
0.20167 0.54709 0.00884
0.00208 0.01599 0.00923
0.00491 0.01389 0.00628
0.00197 0.17817 0.00683
0.01227 0.13326 0.0147
0.00206 0.14394 0.01153
0.00821 0.0096 0.00963
0.01053 0.19962 0.00946
0.10988 0.00976 0.00931
0.00838 0.01161 0.00301
0.005 0.00992 0.00623
0.02166 0.00878 0.00268
0.17044 0.01048 0.00453
0.01054 0.12444 0.01579
0.02132 0.29229 0.00217
0.00245 0.19964 0.05157
0.00211 0.02431 0.00914
0.00209 0.14578 0.00675
0.00714 0.03264 0.00645
0.00875 0.00995 0.00674
0.23321 0.00674 0.00953
0.01892 0.23056 0.00834
0.17052 0.03155 0.00835
0.0115 0.01527 0.00957
0.00981 0.17289 0.00298
0.00195 0.23667 0.01268
0.00856 0.06333 0.14349
0.01038 0.19523 0.00373
0.00208 0.06862 0.02328
0.00207 0.01001 0.00978
0.00198 0.03211 0.0133
0.01788 0.03954 0.00939
0.00198 0.20038 0.00353
0.00373 0.01949 0.00956
0.41991 0.01783 0.00585
0.15217 0.06846 0.00895
0.00208 0.01558 0.00944
0.21583 0.05183 0.14567
0.00436 0.19979 0.00916
0.00879 0.05988 0.00953
0.01373 0.0135 0.00207
0.00637 0.03012 0.00878
0.0128 0.14574 0.01309
0.14322 0.08228 0.00371
0.31055 0.06178 0.00707
